id,plan_id,content,send_date,is_read
1,1,Great form on squats! Keep it up.,1/20/2026,1
2,2,Excellent progress! Increase weight by 2.5kg.,2/20/2026,1
3,3,Your squat depth is improving.,1/25/2026,1
4,4,Remember to log your workouts regularly.,2/25/2026,0
5,5,Good endurance! We will add more volume next week.,1/15/2026,1
6,6,Did you do your cardio today?,2/15/2026,0
7,7,Amazing pull-ups! You can add weight soon.,1/10/2026,1
8,8,I sent you a new program variation.,2/10/2026,0
9,9,Keep up the good work on your strength goals.,1/30/2026,1
10,10,Focus on your recovery this week.,3/1/2026,1
11,11,Great job on the diet plan.,1/5/2026,1
12,14,Please send a video of your squat form.,1/15/2026,0
13,17,Your endurance is improving nicely.,1/20/2026,1
14,21,You are one of my best athletes!,2/8/2026,1
15,23,I see you missed some reps. Try to push harder.,2/23/2026,0
16,25,Excellent consistency this month!,3/23/2026,0
17,26,We aim to hit a new deadlift PR next week.,1/27/2026,1
18,28,Your upper body strength is skyrocketing!,2/2/2026,1
19,30,Welcome to the program! Let's start strong.,6/1/2026,0
20,30,Great first session! Keep it up.,6/10/2026,1
21,31,Your strength is impressive. Let's push harder.,6/5/2026,0
22,31,Don't forget to log your workouts.,6/15/2026,1
23,32,Consistency is key. You're doing well.,6/10/2026,1
24,32,I see you missed a session. Everything okay?,6/20/2026,0
25,33,Let's focus on your form this week.,6/15/2026,1
26,33,Great progress on deadlifts!,6/25/2026,0
27,34,Your weight loss journey is going well.,6/20/2026,1
28,34,Keep tracking your meals.,6/30/2026,1
29,35,Strength is building. Nice work!,6/25/2026,0
30,35,Let's increase the weight next session.,7/5/2026,0
31,1,Your squat is getting deeper!,1/22/2026,1
32,2,Great job on the bench press!,2/22/2026,1
33,3,Your pull-ups are improving!,1/28/2026,1
34,4,Let's work on your grip strength.,2/28/2026,0
35,5,Endurance is your strength. Keep pushing!,1/18/2026,1
36,6,Don't forget to stretch after workouts.,2/18/2026,1
37,7,Your deadlift form is excellent!,1/12/2026,1
38,8,Let's add more volume next week.,2/12/2026,0
39,9,Your shoulder press is getting stronger!,2/1/2026,1
40,10,Focus on your recovery this week.,3/2/2026,1
41,11,Your diet is on point. Keep it up!,1/7/2026,1
42,14,Your squat depth is improving!,1/18/2026,0
43,17,Your endurance is getting better!,1/22/2026,1
44,21,You're one of our top athletes!,2/10/2026,1
45,23,Stop skipping reps! Push harder.,2/25/2026,0
46,25,Your consistency this month is amazing!,3/25/2026,1
47,26,Your deadlift PR is within reach!,1/30/2026,1
48,28,Your upper body strength is skyrocketing!,2/5/2026,1
49,30,Great start! Keep showing up.,6/5/2026,1
50,31,Your strength is off the charts!,6/8/2026,0
51,32,Your consistency is inspiring!,6/12/2026,1
52,33,Let's fix your squat form.,6/18/2026,0
53,34,Your weight loss is on track!,6/22/2026,1
54,35,Your strength is building nicely!,6/28/2026,0
55,1,Great job on the squats!,1/25/2026,1
56,2,Your bench press is improving!,2/25/2026,1
